Cities,,numbers
Adoni,,one
Amaravati,,two
Anantapur,,three
Chandragiri,,four
Chittoor,,five
Dowlaiswaram,,six
Eluru,,seven
Guntur,,eight
Kadapa,,nine
Kakinada,,ten
Kurnool,,eleven
Machilipatnam,,twelve
Nagarjunakoṇḍa,,thirteen
Rajahmundry,,fourteen
Srikakulam,,fifteen
Tirupati,,sixteen
Vijayawada,,seventeen
Visakhapatnam,,eighteen
Vizianagaram,,nineteen
Yemmiganur,,twenty
Port Blair,,twenty-one
Itanagar,,twenty-two
Dhuburi,,twenty-three
Dibrugarh,,twenty-four
Dispur,,twenty-five
Guwahati,,twenty-six
Jorhat,,twenty-seven
Nagaon,,twenty-eight
Sibsagar,,twenty-nine
Silchar,,thirty
Tezpur,,thirty-one
Tinsukia,,thirty-two
Ara,,thirty-three
Baruni,,thirty-four
Begusarai,,thirty-five
Bettiah,,thirty-six
Bhagalpur,,thirty-seven
Bihar Sharif,,thirty-eight
Bodh Gaya,,thirty-nine
Buxar,,forty
Chapra,,forty-one
Darbhanga,,forty-two
Dehri,,forty-three
Dinapur Nizamat,,forty-four
Gaya,,forty-five
Hajipur,,forty-six
Jamalpur,,forty-seven
Katihar,,forty-eight
Madhubani,,forty-nine
Motihari,,fifty
Munger,,fifty-one
Muzaffarpur,,fifty-two
Patna,,fifty-three
Purnia,,fifty-four
Pusa,,fifty-five
Saharsa,,fifty-six
Samastipur,,fifty-seven
Sasaram,,fifty-eight
Sitamarhi,,fifty-nine
Siwan,,sixty
Chandigarh,,sixty-one
Ambikapur,,sixty-two
Bhilai,,sixty-three
Bilaspur,,sixty-four
Dhamtari,,sixty-five
Durg,,sixty-six
Jagdalpur,,sixty-seven
Raipur,,sixty-eight
Rajnandgaon,,sixty-nine
Silvassa,,seventy
Daman,,seventy-one
Diu,,seventy-two
Delhi,,seventy-three
New Delhi,,seventy-four
Madgaon,,seventy-five
Panaji,,seventy-six
Ahmadabad,,seventy-seven
Amreli,,seventy-eight
Bharuch,,seventy-nine
Bhavnagar,,eighty
Bhuj,,eighty-one
Dwarka,,eighty-two
Gandhinagar,,eighty-three
Godhra,,eighty-four
Jamnagar,,eighty-five
Junagadh,,eighty-six
Kandla,,eighty-seven
Khambhat,,eighty-eight
Kheda,,eighty-nine
Mahesana,,ninety
Morvi,,ninety-one
Nadiad,,ninety-two
Navsari,,ninety-three
Okha,,ninety-four
Palanpur,,ninety-five
Patan,,ninety-six
Porbandar,,ninety-seven
Rajkot,,ninety-eight
Surat,,ninety-nine
Surendranagar,,hundred
Valsad,,
Veraval,,
Ambala,,
Bhiwani,,
Chandigarh,,
Faridabad,,
Firozpur Jhirka,,
Gurgaon,,
Hansi,,
Hisar,,
Jind,,
Kaithal,,
Karnal,,
Kurukshetra,,
Panipat,,
Pehowa,,
Rewari,,
Rohtak,,
Sirsa,,
Sonipat,,
Bilaspur,,
Chamba,,
Dalhousie,,
Dharmshala,,
Hamirpur,,
Kangra,,
Kullu,,
Mandi,,
Nahan,,
Shimla,,
Una,,
Anantnag,,
Baramula,,
Doda,,
Gulmarg,,
Jammu,,
Kathua,,
Leh,,
Punch,,
Rajauri,,
Srinagar,,
Udhampur,,
Bokaro,,
Chaibasa,,
Deoghar,,
Dhanbad,,
Dumka,,
Giridih,,
Hazaribag,,
Jamshedpur,,
Jharia,,
Rajmahal,,
Ranchi,,
Saraikela,,
Badami,,
Ballari,,
Bangalore,,
Belgavi,,
Bhadravati,,
Bidar,,
Chikkamagaluru,,
Chitradurga,,
Davangere,,
Halebid,,
Hassan,,
Hubballi-Dharwad,,
Kalaburagi,,
Kolar,,
Madikeri,,
Mandya,,
Mangaluru,,
Mysuru,,
Raichur,,
Shivamogga,,
Shravanabelagola,,
Shrirangapattana,,
Tumkuru,,
Bengaluru,,
Alappuzha,,
Badagara,,
Idukki,,
Kannur,,
Kochi,,
Kollam,,
Kottayam,,
Kozhikode,,
Mattancheri,,
Palakkad,,
Thalassery,,
Thiruvananthapuram,,
Thrissur,,
Balaghat,,
Barwani,,
Betul,,
Bharhut,,
Bhind,,
Bhojpur,,
Bhopal,,
Burhanpur,,
Chhatarpur,,
Chhindwara,,
Damoh,,
Datia,,
Dewas,,
Dhar,,
Guna,,
Gwalior,,
Hoshangabad,,
Indore,,
Itarsi,,
Jabalpur,,
Jhabua,,
Khajuraho,,
Khandwa,,
Khargon,,
Maheshwar,,
Mandla,,
Mandsaur,,
Mhow,,
Morena,,
Murwara,,
Narsimhapur,,
Narsinghgarh,,
Narwar,,
Neemuch,,
Nowgong,,
Orchha,,
Panna,,
Raisen,,
Rajgarh,,
Ratlam,,
Rewa,,
Sagar,,
Sarangpur,,
Satna,,
Sehore,,
Seoni,,
Shahdol,,
Shajapur,,
Sheopur,,
Shivpuri,,
Ujjain,,
Vidisha,,
Ahmadnagar,,
Akola,,
Amravati,,
Aurangabad,,
Bhandara,,
Bhusawal,,
Bid,,
Buldana,,
Chandrapur,,
Daulatabad,,
Dhule,,
Jalgaon,,
Kalyan,,
Karli,,
Kolhapur,,
Mahabaleshwar,,
Malegaon,,
Matheran,,
Mumbai,,
Nagpur,,
Nanded,,
Nashik,,
Osmanabad,,
Pandharpur,,
Parbhani,,
Pune,,
Ratnagiri,,
Sangli,,
Satara,,
Sevagram,,
Solapur,,
Thane,,
Ulhasnagar,,
Vasai-Virar,,
Wardha,,
Yavatmal,,
Imphal,,
Cherrapunji,,
Shillong,,
Aizawl,,
Lunglei,,
Kohima,,
Mon,,
Phek,,
Wokha,,
Zunheboto,,
Balangir,,
Baleshwar,,
Baripada,,
Bhubaneshwar,,
Brahmapur,,
Cuttack,,
Dhenkanal,,
Keonjhar,,
Konark,,
Koraput,,
Paradip,,
Phulabani,,
Puri,,
Sambalpur,,
Udayagiri,,
Karaikal,,
Mahe,,
Puducherry,,
Yanam,,
Amritsar,,
Batala,,
Chandigarh,,
Faridkot,,
Firozpur,,
Gurdaspur,,
Hoshiarpur,,
Jalandhar,,
Kapurthala,,
Ludhiana,,
Nabha,,
Patiala,,
Rupnagar,,
Sangrur,,
Abu,,
Ajmer,,
Alwar,,
Amer,,
Barmer,,
Beawar,,
Bharatpur,,
Bhilwara,,
Bikaner,,
Bundi,,
Chittaurgarh,,
Churu,,
Dhaulpur,,
Dungarpur,,
Ganganagar,,
Hanumangarh,,
Jaipur,,
Jaisalmer,,
Jalor,,
Jhalawar,,
Jhunjhunu,,
Jodhpur,,
Kishangarh,,
Kota,,
Merta,,
Nagaur,,
Nathdwara,,
Pali,,
Phalodi,,
Pushkar,,
Sawai Madhopur,,
Shahpura,,
Sikar,,
Sirohi,,
Tonk,,
Udaipur,,
Gangtok,,
Gyalsing,,
Lachung,,
Mangan,,
Arcot,,
Chengalpattu,,
Chennai,,
Chidambaram,,
Coimbatore,,
Cuddalore,,
Dharmapuri,,
Dindigul,,
Erode,,
Kanchipuram,,
Kanniyakumari,,
Kodaikanal,,
Kumbakonam,,
Madurai,,
Mamallapuram,,
Nagappattinam,,
Nagercoil,,
Palayankottai,,
Pudukkottai,,
Rajapalaiyam,,
Ramanathapuram,,
Salem,,
Thanjavur,,
Tiruchchirappalli,,
Tirunelveli,,
Tiruppur,,
Tuticorin,,
Udhagamandalam,,
Vellore,,
Hyderabad,,
Karimnagar,,
Khammam,,
Mahbubnagar,,
Nizamabad,,
Sangareddi,,
Warangal,,
Agartala,,
Agra,,
Aligarh,,
Allahabad,,
Amroha,,
Ayodhya,,
Azamgarh,,
Bahraich,,
Ballia,,
Banda,,
Bara Banki,,
Bareilly,,
Basti,,
Bijnor,,
Bithur,,
Budaun,,
Bulandshahr,,
Deoria,,
Etah,,
Etawah,,
Faizabad,,
Farrukhabad-cum-Fatehgarh,,
Fatehpur,,
Fatehpur Sikri,,
Ghaziabad,,
Ghazipur,,
Gonda,,
Gorakhpur,,
Hamirpur,,
Hardoi,,
Hathras,,
Jalaun,,
Jaunpur,,
Jhansi,,
Kannauj,,
Kanpur,,
Lakhimpur,,
Lalitpur,,
Lucknow,,
Mainpuri,,
Mathura,,
Meerut,,
Mirzapur-Vindhyachal,,
Moradabad,,
Muzaffarnagar,,
Partapgarh,,
Pilibhit,,
Rae Bareli,,
Rampur,,
Saharanpur,,
Sambhal,,
Shahjahanpur,,
Sitapur,,
Sultanpur,,
Tehri,,
Varanasi,,
Almora,,
Dehra Dun,,
Haridwar,,
Mussoorie,,
Nainital,,
Pithoragarh,,
Alipore,,
Alipur Duar,,
Asansol,,
Baharampur,,
Bally,,
Balurghat,,
Bankura,,
Baranagar,,
Barasat,,
Barrackpore,,
Basirhat,,
Bhatpara,,
Bishnupur,,
Budge Budge,,
Burdwan,,
Chandernagore,,
Darjiling,,
Diamond Harbour,,
Dum Dum,,
Durgapur,,
Halisahar,,
Haora,,
Hugli,,
Ingraj Bazar,,
Jalpaiguri,,
Kalimpong,,
Kamarhati,,
Kanchrapara,,
Kharagpur,,
Koch Bihar,,
Kolkata,,
Krishnanagar,,
Malda,,
Midnapore,,
Murshidabad,,
Navadwip,,
Palashi,,
Panihati,,
Purulia,,
Raiganj,,
Santipur,,
Shantiniketan,,
Shrirampur,,
Siliguri,,
Siuri,,
Tamluk,,
Titagarh,,
